CustomerID,Name,Phone,Address,City
1,Kavya Reddy,9193214172,"Koramangala, Delhi",Mumbai
2,Siddharth Joshi,1628503012,"Civil Lines, Jaipur",Pune
3,Neha Joshi,6430427670,"Civil Lines, Hyderabad",Jaipur
4,Siddharth Mehta,2645852001,"MG Road, Jaipur",Jaipur
5,Rajesh Reddy,2428071930,"Koramangala, Pune",Ahmedabad
6,Amit Khan,0190541137,"Gachibowli, Mumbai",Hyderabad
7,Siddharth Reddy,8936103237,"Gachibowli, Jaipur",Delhi
8,Ishani Pandey,6107304510,"Satellite, Ahmedabad",Delhi
9,Aarav Mehta,0772118191,"Koramangala, Ahmedabad",Ahmedabad
10,Ananya Chopra,1694228116,"Andheri West, Hyderabad",Ahmedabad
11,Rajesh Pandey,8478848980,"Gachibowli, Ahmedabad",Mumbai
12,Rohit Singh,4559839849,"Andheri West, Hyderabad",Pune
13,Aarav Sharma,9412974585,"Koramangala, Jaipur",Hyderabad
14,Rajesh Singh,8990988243,"Koramangala, Pune",Ahmedabad
15,Rajesh Chopra,1481868737,"Malviya Nagar, Hyderabad",Mumbai
16,Rajesh Mehta,4672353920,"Civil Lines, Hyderabad",Mumbai
17,Rohit Pandey,4625735153,"Malviya Nagar, Delhi",Delhi
18,Rohit Khan,9123848204,"Satellite, Jaipur",Hyderabad
19,Rajesh Khan,0295343848,"Gachibowli, Pune",Hyderabad
20,Amit Pandey,1026389909,"Malviya Nagar, Bangalore",Jaipur
21,Ishani Reddy,2508355230,"Malviya Nagar, Hyderabad",Pune
22,Ananya Patel,1797224182,"Civil Lines, Hyderabad",Ahmedabad
23,Kavya Chopra,7825409281,"Koramangala, Mumbai",Ahmedabad
24,Pooja Reddy,3411593260,"MG Road, Ahmedabad",Bangalore
25,Neha Mehta,2553167252,"Andheri West, Mumbai",Delhi
26,Siddharth Mehta,9123856567,"Satellite, Jaipur",Mumbai
27,Rohit Mehta,2418889877,"Satellite, Jaipur",Jaipur
28,Kavya Reddy,5435837231,"Civil Lines, Delhi",Bangalore
29,Kavya Khan,3267207003,"Andheri West, Delhi",Ahmedabad
30,Ishani Pandey,5888593917,"Andheri West, Delhi",Jaipur
31,Pooja Reddy,1821354737,"Satellite, Mumbai",Pune
32,Siddharth Khan,6714583573,"Satellite, Delhi",Pune
33,Pooja Singh,5356402137,"MG Road, Ahmedabad",Mumbai
34,Neha Khan,4571657261,"Andheri West, Pune",Pune
35,Neha Pandey,9612213363,"MG Road, Pune",Hyderabad
36,Neha Chopra,7044028318,"Civil Lines, Jaipur",Pune
37,Siddharth Khan,6828242068,"Andheri West, Mumbai",Ahmedabad
38,Pooja Mehta,6983872542,"Malviya Nagar, Jaipur",Jaipur
39,Kavya Mehta,9421711987,"Malviya Nagar, Pune",Pune
40,Kavya Joshi,4181441465,"Satellite, Jaipur",Delhi
41,Amit Chopra,2362700098,"Satellite, Hyderabad",Pune
42,Pooja Pandey,4094169273,"Civil Lines, Bangalore",Bangalore
43,Neha Patel,4496257370,"Malviya Nagar, Ahmedabad",Mumbai
44,Siddharth Chopra,8730442646,"MG Road, Bangalore",Mumbai
45,Neha Sharma,9982963201,"Civil Lines, Bangalore",Jaipur
46,Ananya Reddy,5545771842,"Gachibowli, Mumbai",Pune
47,Ananya Reddy,5627502427,"Malviya Nagar, Hyderabad",Hyderabad
48,Ananya Khan,1954956073,"Satellite, Hyderabad",Mumbai
49,Pooja Chopra,5697693330,"Koramangala, Ahmedabad",Mumbai
50,Aarav Pandey,8828774776,"Gachibowli, Ahmedabad",Pune
51,Pooja Pandey,0393657181,"Gachibowli, Mumbai",Delhi
52,Siddharth Gupta,1224083348,"Malviya Nagar, Mumbai",Hyderabad
53,Rajesh Gupta,2537027368,"Malviya Nagar, Ahmedabad",Hyderabad
54,Siddharth Pandey,7151636970,"Gachibowli, Hyderabad",Delhi
55,Aarav Mehta,3594603251,"Satellite, Mumbai",Delhi
56,Neha Chopra,5716844166,"Satellite, Pune",Jaipur
57,Amit Sharma,4396544714,"Civil Lines, Mumbai",Ahmedabad
58,Kavya Singh,3455560295,"Andheri West, Jaipur",Hyderabad
59,Ishani Gupta,9530346006,"Malviya Nagar, Ahmedabad",Jaipur
60,Kavya Reddy,5003992233,"Satellite, Hyderabad",Delhi
61,Ishani Pandey,1156692378,"Malviya Nagar, Pune",Mumbai
62,Rajesh Khan,3030199317,"Gachibowli, Hyderabad",Bangalore
63,Siddharth Sharma,3849289142,"MG Road, Hyderabad",Delhi
64,Ananya Gupta,2177521018,"Civil Lines, Mumbai",Pune
65,Siddharth Mehta,9561803150,"Satellite, Hyderabad",Jaipur
66,Pooja Sharma,8176394653,"Malviya Nagar, Hyderabad",Bangalore
67,Amit Gupta,8618527141,"Koramangala, Delhi",Bangalore
68,Neha Reddy,0516365762,"Koramangala, Jaipur",Pune
69,Pooja Pandey,9737012697,"Andheri West, Mumbai",Bangalore
70,Ishani Mehta,1276523492,"Koramangala, Mumbai",Pune
71,Pooja Joshi,7598229457,"Civil Lines, Delhi",Ahmedabad
72,Kavya Joshi,8325613453,"Andheri West, Hyderabad",Mumbai
73,Aarav Khan,8168254794,"MG Road, Hyderabad",Hyderabad
74,Rohit Patel,9590335533,"Gachibowli, Ahmedabad",Hyderabad
75,Neha Singh,0335991550,"Andheri West, Mumbai",Jaipur
76,Neha Pandey,8369312421,"Civil Lines, Delhi",Hyderabad
77,Amit Sharma,2505597469,"Koramangala, Delhi",Hyderabad
78,Rohit Mehta,3623678186,"Malviya Nagar, Jaipur",Jaipur
79,Ananya Singh,8009915190,"Gachibowli, Bangalore",Pune
80,Siddharth Mehta,0561679314,"Malviya Nagar, Bangalore",Mumbai
81,Ananya Chopra,1237747658,"MG Road, Ahmedabad",Hyderabad
82,Aarav Chopra,8909399436,"Andheri West, Bangalore",Ahmedabad
83,Aarav Khan,4306749938,"Civil Lines, Ahmedabad",Hyderabad
84,Ishani Singh,9790087856,"Gachibowli, Delhi",Hyderabad
85,Siddharth Mehta,7073288490,"Civil Lines, Hyderabad",Bangalore
86,Neha Gupta,7805171617,"Malviya Nagar, Mumbai",Hyderabad
87,Rohit Patel,4881818738,"MG Road, Jaipur",Delhi
88,Rajesh Khan,1484263519,"Satellite, Pune",Pune
89,Rajesh Sharma,4364574128,"MG Road, Pune",Bangalore
90,Ananya Pandey,4383455887,"Satellite, Jaipur",Delhi
91,Ananya Mehta,5242410073,"Gachibowli, Ahmedabad",Ahmedabad
92,Rohit Chopra,1706134273,"Gachibowli, Hyderabad",Jaipur
93,Siddharth Patel,9816855134,"Malviya Nagar, Hyderabad",Mumbai
94,Ishani Gupta,5205954435,"Koramangala, Pune",Bangalore
95,Ananya Reddy,3042992868,"Andheri West, Ahmedabad",Ahmedabad
96,Aarav Joshi,8408232880,"Civil Lines, Delhi",Bangalore
97,Pooja Mehta,2978712294,"Satellite, Hyderabad",Jaipur
98,Rajesh Pandey,1452209969,"Koramangala, Ahmedabad",Mumbai
99,Aarav Patel,0046759681,"Andheri West, Mumbai",Jaipur
100,Pooja Chopra,5137176713,"Koramangala, Bangalore",Pune
101,Neha Joshi,9341634580,"Andheri West, Delhi",Jaipur
102,Ishani Sharma,3498489874,"Satellite, Mumbai",Jaipur
103,Kavya Mehta,8402260379,"Andheri West, Hyderabad",Ahmedabad
104,Amit Joshi,4969195522,"Gachibowli, Hyderabad",Jaipur
105,Kavya Patel,2082088348,"MG Road, Jaipur",Delhi
106,Neha Sharma,9661124164,"MG Road, Mumbai",Hyderabad
107,Pooja Singh,5695452513,"Andheri West, Bangalore",Hyderabad
